,video_x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,MOS_x,content,resolution,bitrate,bitrate_mu,AQ,is_AQ_test,level,reference,video_y,MOS_y,DMOS
65,BTFB-00h33m50s_res2160_mu11200_sigma300_rate11440_aqOn.yuv,76,73,43,41,,54,49,40,63,55,95,78,69,44,31,63,44,54,46,50,54,43,48,57,58,73,52,80,45,47,70,87,86,82,50,93,83,60.44444444,BTFB-00h33m50s,2160p,11440,11200,On,TRUE,2160p_11200,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.08333333,2.638888889
66,BTFB-00h33m50s_res1080_mu1200_sigma100_rate1220_aqOff.yuv,68,64,51,46,,30,27,16,43,54,96,64,60,46,52,50,37,36,50,44,62,41,84,43,54,46,51,42,49,43,42,68,70,61,41,45,57,50.91666667,BTFB-00h33m50s,1080p,1220,1200,Off,TRUE,1080p_1200,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.08333333,12.16666667
67,BTFB-00h33m50s_res600_mu800_sigma50_rate884_aqOff.yuv,78,71,51,59,38,33,25,40,59,76,83,,61,50,64,62,66,87,55,40,57,38,72,42,38,55,59,46,46,53,58,44,53,58,42,50,60,54.69444444,BTFB-00h33m50s,600p,884,800,Off,TRUE,600p_800,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.08333333,8.388888889
68,BTFB-00h33m50s_res1080_mu500_sigma100_rate340_aqOn.yuv,8,13,10,19,2,19,15,13,17,26,23,26,28,27,1,9,1,23,29,16,1,19,29,39,20,14,25,36,11,1,10,12,26,39,31,5,7,17.56756757,BTFB-00h33m50s,1080p,340,500,On,TRUE,1080p_500,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.08333333,45.51576577
69,BTFB-00h33m50s_res1080_mu1200_sigma100_rate1220_aqOn.yuv,68,62,59,66,22,28,47,60,60,57,80,69,66,56,16,56,50,47,30,52,26,49,94,53,65,46,57,54,42,49,46,38,74,52,38,48,54,52.32432432,BTFB-00h33m50s,1080p,1220,1200,On,TRUE,1080p_1200,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.08333333,10.75900901
70,BTFB-00h33m50s_res2160_mu3000_sigma300_rate2862_aqOff.yuv,79,75,43,56,15,78,27,48,68,54,77,75,74,38,13,41,35,60,24,61,44,41,87,55,39,48,47,56,47,23,42,82,78,60,55,78,61,53.62162162,BTFB-00h33m50s,2160p,2862,3000,Off,TRUE,2160p_3000,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.08333333,9.461711712
72,BTFB-00h33m50s_res1080_mu5400_sigma300_rate5224_aqOn.yuv,62,74,40,61,54,59,45,74,72,60,76,58,57,66,34,51,84,51,45,35,46,49,86,59,45,75,76,62,20,36,64,84,81,70,60,75,73,59.97297297,BTFB-00h33m50s,1080p,5224,5400,On,TRUE,1080p_5400,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.08333333,3.11036036
73,BTFB-00h33m50s_res720_mu1500_sigma100_rate1544_aqOff.yuv,73,74,32,54,52,73,41,50,52,74,70,69,64,52,46,52,61,83,72,32,71,49,76,57,67,74,72,69,42,67,44,77,77,60,44,50,55,60.18918919,BTFB-00h33m50s,720p,1544,1500,Off,TRUE,720p_1500,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.08333333,2.894144144
74,BTFB-00h33m50s_res600_mu800_sigma50_rate884_aqOn.yuv,66,48,55,52,43,48,26,36,62,51,82,54,59,54,27,55,40,79,52,52,51,46,74,41,75,48,50,61,57,51,41,40,66,76,39,58,59,53.35135135,BTFB-00h33m50s,600p,884,800,On,TRUE,600p_800,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.08333333,9.731981982
75,7500-00h15m25s_res1080_mu5400_sigma300_rate5638_aqOn.yuv,49,72,46,63,66,82,44,62,61,46,88,,70,50,40,71,76,81,68,42,63,68,66,44,64,54,62,75,46,57,45,73,76,65,57,49,83,61.77777778,7500-00h15m25s,1080p,5638,5400,On,FALSE,1080p_5400,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,65.91666667,4.138888889
76,7500-00h15m25s_res2160_mu11200_sigma300_rate11726_aqOn.yuv,79,87,49,63,,84,34,50,82,62,91,73,70,60,36,41,47,65,51,35,91,60,50,46,86,77,58,71,54,62,66,80,72,50,44,77,60,62.86111111,7500-00h15m25s,2160p,11726,11200,On,FALSE,2160p_11200,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,65.91666667,3.055555556
77,7500-00h15m25s_res600_mu800_sigma50_rate840_aqOn.yuv,49,70,37,56,65,80,20,45,65,72,69,,64,46,28,34,62,49,54,32,59,64,72,41,53,47,50,75,27,49,64,65,61,29,65,47,90,54.30555556,7500-00h15m25s,600p,840,800,On,FALSE,600p_800,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,65.91666667,11.61111111
78,7500-00h15m25s_res720_mu1500_sigma100_rate1511_aqOn.yuv,64,74,61,67,,36,50,49,71,72,85,70,73,45,45,53,70,68,52,58,64,48,87,52,58,50,68,66,42,54,62,57,74,44,43,50,86,60.22222222,7500-00h15m25s,720p,1511,1500,On,FALSE,720p_1500,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,65.91666667,5.694444444
79,7500-00h15m25s_res1080_mu1200_sigma100_rate1268_aqOn.yuv,75,61,53,47,,87,49,36,76,73,67,66,75,55,43,63,53,74,74,73,49,68,74,57,66,70,64,73,54,55,68,56,68,83,57,26,77,62.91666667,7500-00h15m25s,1080p,1268,1200,On,FALSE,1080p_1200,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,65.91666667,3
80,7500-00h15m25s_res1080_mu500_sigma100_rate466_aqOn.yuv,55,39,19,42,12,22,15,72,57,63,50,57,36,30,42,14,12,64,22,30,16,33,39,44,42,36,37,32,59,18,28,18,68,41,29,22,40,36.62162162,7500-00h15m25s,1080p,466,500,On,FALSE,1080p_500,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,65.91666667,29.29504505
81,7500-00h15m25s_res2160_mu3000_sigma300_rate3372_aqOn.yuv,81,53,48,56,70,77,39,62,73,66,91,60,43,50,40,66,49,94,63,57,44,74,62,58,49,73,79,71,36,63,82,59,62,68,47,49,80,62,7500-00h15m25s,2160p,3372,3000,On,FALSE,2160p_3000,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,65.91666667,3.916666667
83,7500-00h15m25s_res2160_mu1000_sigma100_rate788_aqOn.yuv,42,26,36,52,,20,62,64,54,55,61,41,48,35,20,26,21,40,35,58,41,19,64,41,23,50,24,31,82,17,42,34,45,36,64,31,28,40.77777778,7500-00h15m25s,2160p,788,1000,On,FALSE,2160p_1000,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,65.91666667,25.13888889
84,BASN-00h37m18s_res600_mu800_sigma50_rate841_aqOn.yuv,57,71,20,56,66,60,63,71,50,60,52,78,76,66,63,67,64,49,51,61,50,58,73,50,69,79,47,65,56,79,83,78,68,76,61,49,80,62.75675676,BASN-00h37m18s,600p,841,800,On,FALSE,600p_800,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.21621622,0.459459459
86,BASN-00h37m18s_res1080_mu1200_sigma100_rate1196_aqOn.yuv,34,61,37,52,44,48,74,75,52,49,79,76,59,62,51,51,50,75,52,55,40,46,75,61,78,47,46,59,44,41,40,44,70,70,59,63,67,56.37837838,BASN-00h37m18s,1080p,1196,1200,On,FALSE,1080p_1200,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.21621622,6.837837838
87,BASN-00h37m18s_res1080_mu5400_sigma300_rate5457_aqOn.yuv,54,94,44,55,70,58,70,48,69,70,67,70,66,67,86,66,61,86,76,61,63,71,75,47,54,75,68,78,62,61,61,86,74,72,57,49,71,66.54054054,BASN-00h37m18s,1080p,5457,5400,On,FALSE,1080p_5400,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.21621622,-3.324324324
88,BASN-00h37m18s_res2160_mu1000_sigma100_rate922_aqOn.yuv,46,24,41,40,,42,10,55,19,73,39,60,49,45,4,49,30,16,4,60,26,21,34,34,52,29,26,36,43,18,35,58,22,49,36,41,39,36.25,BASN-00h37m18s,2160p,922,1000,On,FALSE,2160p_1000,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.21621622,26.96621622
89,BASN-00h37m18s_res1080_mu500_sigma100_rate694_aqOn.yuv,59,74,53,60,64,39,50,20,54,39,79,74,60,49,45,61,59,17,62,60,40,37,48,70,76,80,47,56,47,45,57,66,58,62,43,43,63,54.48648649,BASN-00h37m18s,1080p,694,500,On,FALSE,1080p_500,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.21621622,8.72972973
90,BASN-00h37m18s_res720_mu1500_sigma100_rate1598_aqOn.yuv,83,61,54,54,,78,57,60,58,79,86,67,45,65,39,73,68,72,68,81,47,69,76,59,93,81,60,78,51,66,61,77,85,50,59,76,80,67.11111111,BASN-00h37m18s,720p,1598,1500,On,FALSE,720p_1500,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.21621622,-3.894894895
91,BASN-00h37m18s_res2160_mu11200_sigma300_rate11167_aqOn.yuv,75,75,64,66,71,91,67,62,59,60,50,76,73,58,86,65,49,74,76,63,75,67,73,66,52,60,58,79,39,54,73,97,88,69,66,79,72,68.2972973,BASN-00h37m18s,2160p,11167,11200,On,FALSE,2160p_11200,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.21621622,-5.081081081
92,BASN-00h37m18s_res2160_mu3000_sigma300_rate3027_aqOn.yuv,70,60,29,70,60,56,69,22,60,57,63,70,66,62,81,49,37,58,72,65,49,68,72,61,43,62,55,52,57,66,62,80,93,94,65,65,84,62.27027027,BASN-00h37m18s,2160p,3027,3000,On,FALSE,2160p_3000,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.21621622,0.945945946
93,CMDY-101-00h10m21s_res1080_mu5400_sigma300_rate5789_aqOn.yuv,59,74,56,70,48,91,45,50,71,56,73,68,78,63,36,70,77,96,78,69,76,63,85,55,89,76,68,71,72,62,72,63,81,79,52,90,68,68.91891892,CMDY-101-00h10m21s,1080p,5789,5400,On,FALSE,1080p_5400,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,10.21621622
94,CMDY-101-00h10m21s_res2160_mu1000_sigma100_rate798_aqOn.yuv,5,25,13,6,9,25,25,3,13,20,7,29,25,12,5,12,1,13,1,24,1,7,6,24,23,8,21,29,1,6,11,13,3,16,19,3,5,12.67567568,CMDY-101-00h10m21s,2160p,798,1000,On,FALSE,2160p_1000,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,66.45945946
95,CMDY-101-00h10m21s_res720_mu1500_sigma300_rate1807_aqOn.yuv,59,37,42,53,,45,16,38,48,30,78,46,51,38,39,17,30,64,18,39,50,38,69,49,45,46,46,44,50,37,41,36,56,42,34,31,51,43.13888889,CMDY-101-00h10m21s,720p,1807,1500,On,FALSE,720p_1500,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,35.99624625
96,CMDY-101-00h10m21s_res1080_mu1200_sigma100_rate1292_aqOn.yuv,53,37,22,40,19,31,32,50,64,35,39,49,46,36,27,33,23,47,3,31,25,28,49,31,40,44,32,52,43,49,32,42,36,45,26,43,41,37.16216216,CMDY-101-00h10m21s,1080p,1292,1200,On,FALSE,1080p_1200,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,41.97297297
97,CMDY-101-00h10m21s_res2160_mu11200_sigma300_rate10759_aqOn.yuv,79,72,56,64,73,63,63,68,70,67,76,74,80,50,73,76,72,96,76,74,73,73,91,65,94,74,75,74,91,68,63,70,97,91,63,73,85,74.10810811,CMDY-101-00h10m21s,2160p,10759,11200,On,FALSE,2160p_11200,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,5.027027027
98,CMDY-101-00h10m21s_res600_mu800_sigma200_rate537_aqOn.yuv,39,31,13,26,7,19,29,7,33,26,50,27,40,26,15,19,4,24,3,38,22,26,19,29,20,26,21,17,19,31,29,27,24,5,38,10,20,23.21621622,CMDY-101-00h10m21s,600p,537,800,On,FALSE,600p_800,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,55.91891892
100,CMDY-101-00h10m21s_res2160_mu3000_sigma300_rate2560_aqOn.yuv,42,38,21,23,,32,26,66,38,47,58,51,52,41,14,24,19,61,3,25,26,37,37,40,33,46,39,50,26,19,34,36,32,42,26,26,35,35.13888889,CMDY-101-00h10m21s,2160p,2560,3000,On,FALSE,2160p_3000,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,43.99624625
101,CMDY-101-00h10m21s_res1080_mu500_sigma100_rate514_aqOn.yuv,29,7,15,20,12,29,2,14,41,17,20,33,45,30,2,21,23,27,3,20,6,23,50,17,29,28,25,34,6,24,19,17,26,31,32,6,15,21.56756757,CMDY-101-00h10m21s,1080p,514,500,On,FALSE,1080p_500,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,57.56756757
102,HNNA-202_res600_mu800_sigma200_rate958_aqOn.yuv,66,73,68,52,,72,66,76,70,60,60,74,77,61,72,77,59,88,79,37,92,55,72,66,81,59,61,61,44,83,67,81,79,86,65,53,83,68.75,HNNA-202,600p,958,800,On,FALSE,600p_800,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.44444444,8.694444444
103,HNNA-202_res720_mu1500_sigma300_rate1507_aqOn.yuv,49,74,71,73,73,77,56,21,74,66,85,78,85,56,61,68,84,61,83,77,85,81,74,63,80,76,68,53,70,76,85,76,63,82,63,78,95,71.35135135,HNNA-202,720p,1507,1500,On,FALSE,720p_1500,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.44444444,6.093093093
105,HNNA-202_res1080_mu5400_sigma300_rate5386_aqOn.yuv,87,85,73,79,,79,91,85,78,72,76,79,87,53,90,78,79,92,86,78,71,76,81,74,81,83,74,82,73,92,74,90,80,99,58,73,65,79.25,HNNA-202,1080p,5386,5400,On,FALSE,1080p_5400,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.44444444,-1.805555556
106,HNNA-202_res2160_mu3000_sigma300_rate3037_aqOn.yuv,83,98,78,83,91,74,71,58,71,70,81,74,81,65,82,65,63,87,69,67,92,60,53,57,93,74,79,72,52,75,70,66,81,80,58,59,92,73.62162162,HNNA-202,2160p,3037,3000,On,FALSE,2160p_3000,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.44444444,3.822822823
107,HNNA-202_res2160_mu1000_sigma100_rate1003_aqOn.yuv,55,1,16,28,,27,32,80,57,51,39,44,49,35,50,42,28,26,3,46,45,32,36,33,53,55,40,49,36,36,32,90,48,66,38,26,20,40.11111111,HNNA-202,2160p,1003,1000,On,FALSE,2160p_1000,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.44444444,37.33333333
108,HNNA-202_res2160_mu11200_sigma300_rate11106_aqOn.yuv,81,75,69,82,76,78,70,57,69,71,97,83,82,60,75,76,94,94,72,75,79,75,75,78,93,75,65,63,47,73,77,96,67,93,69,75,94,76.48648649,HNNA-202,2160p,11106,11200,On,FALSE,2160p_11200,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.44444444,0.957957958
109,HNNA-202_res1080_mu1200_sigma100_rate1351_aqOn.yuv,75,71,71,61,,72,44,39,68,64,63,58,83,54,47,73,72,78,84,76,73,56,71,82,61,74,75,75,48,65,72,83,75,87,76,81,80,69.08333333,HNNA-202,1080p,1351,1200,On,FALSE,1080p_1200,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.44444444,8.361111111
110,HNNA-202_res1080_mu500_sigma100_rate400_aqOn.yuv,27,25,11,39,4,21,44,26,12,53,25,27,48,16,16,54,3,2,1,27,3,8,12,28,21,25,30,36,5,14,10,25,39,23,18,15,27,22.16216216,HNNA-202,1080p,400,500,On,FALSE,1080p_500,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.44444444,55.28228228
111,EXPA-505_res1080_mu1200_sigma100_rate1130_aqOn.yuv,50,25,32,52,45,41,32,57,70,81,69,54,61,41,56,76,73,27,16,53,33,37,13,59,33,53,63,47,31,32,20,23,59,51,53,35,36,45.64864865,EXPA-505,1080p,1130,1200,On,FALSE,1080p_1200,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,67.86486486,22.21621622
112,EXPA-505_res2160_mu1000_sigma100_rate1114_aqOn.yuv,44,31,29,62,,36,31,32,61,54,67,63,60,54,34,27,46,80,36,31,51,26,51,36,34,51,46,44,56,29,31,38,65,58,38,39,42,44.80555556,EXPA-505,2160p,1114,1000,On,FALSE,2160p_1000,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,67.86486486,23.05930931
113,EXPA-505_res600_mu800_sigma50_rate809_aqOn.yuv,69,61,33,66,,69,25,33,54,66,98,69,73,62,32,66,46,72,74,66,36,43,83,57,20,49,44,50,69,49,69,42,74,54,54,45,66,56.61111111,EXPA-505,600p,809,800,On,FALSE,600p_800,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,67.86486486,11.25375375
114,EXPA-505_res2160_mu3000_sigma300_rate3200_aqOn.yuv,74,84,66,56,,86,67,28,72,73,89,73,75,61,56,81,73,94,47,71,72,49,49,67,93,77,70,75,41,66,39,74,70,78,61,77,92,68.77777778,EXPA-505,2160p,3200,3000,On,FALSE,2160p_3000,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,67.86486486,-0.912912913
115,EXPA-505_res1080_mu500_sigma100_rate448_aqOn.yuv,53,13,12,18,,20,33,52,13,61,7,24,24,25,5,39,18,15,23,26,1,14,9,39,26,29,38,35,30,17,6,12,13,25,27,3,6,22.52777778,EXPA-505,1080p,448,500,On,FALSE,1080p_500,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,67.86486486,45.33708709
116,EXPA-505_res2160_mu11200_sigma300_rate10936_aqOn.yuv,79,61,61,51,,75,57,64,71,84,75,70,61,61,51,73,80,97,77,73,100,74,81,49,49,79,71,72,74,63,58,79,66,78,41,60,63,68.83333333,EXPA-505,2160p,10936,11200,On,FALSE,2160p_11200,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,67.86486486,-0.968468468
117,EXPA-505_res1080_mu5400_sigma300_rate5136_aqOn.yuv,82,61,55,72,31,35,50,54,66,61,95,77,59,55,50,58,57,83,24,65,98,53,74,59,82,53,81,47,61,64,44,46,75,48,44,72,86,61.54054054,EXPA-505,1080p,5136,5400,On,FALSE,1080p_5400,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,67.86486486,6.324324324
119,EXPA-505_res720_mu1500_sigma100_rate1485_aqOn.yuv,71,21,63,53,,73,59,42,61,83,68,75,68,54,47,49,63,87,74,56,49,48,76,64,36,73,50,52,57,44,70,50,78,57,55,51,80,59.91666667,EXPA-505,720p,1485,1500,On,FALSE,720p_1500,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,67.86486486,7.948198198
120,AERO-00h13m10s_res720_mu1500_sigma100_rate1573_aqOn.yuv,64,73,41,47,26,62,30,56,62,41,73,62,56,50,43,51,20,38,70,67,48,37,50,40,32,50,42,43,57,60,54,59,49,49,51,59,67,50.78378378,AERO-00h13m10s,720p,1573,1500,On,TRUE,720p_1500,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.08108108,20.2972973
121,AERO-00h13m10s_res1080_mu500_sigma100_rate538_aqOn.yuv,16,37,18,24,,34,37,10,38,14,54,35,35,50,25,25,14,10,12,26,40,49,35,22,41,44,27,44,24,11,16,38,39,22,40,5,5,28.22222222,AERO-00h13m10s,1080p,538,500,On,TRUE,1080p_500,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.08108108,42.85885886
122,AERO-00h13m10s_res1080_mu1200_sigma100_rate1185_aqOn.yuv,62,35,26,47,,33,25,39,62,42,57,39,58,30,6,36,39,61,24,50,44,38,59,39,59,50,56,42,40,41,37,51,50,51,55,27,39,43.02777778,AERO-00h13m10s,1080p,1185,1200,On,TRUE,1080p_1200,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.08108108,28.0533033
123,AERO-00h13m10s_res2160_mu3000_sigma300_rate2852_aqOn.yuv,67,48,44,47,49,47,24,56,64,68,64,60,57,48,25,49,20,41,25,40,48,33,37,44,57,85,37,44,71,37,45,62,74,63,62,56,50,49.94594595,AERO-00h13m10s,2160p,2852,3000,On,TRUE,2160p_3000,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.08108108,21.13513514
124,AERO-00h13m10s_res600_mu800_sigma50_rate766_aqOff.yuv,58,49,15,40,16,33,20,72,48,30,62,32,61,51,29,54,27,37,6,60,44,25,32,35,27,37,30,42,27,39,35,37,49,37,67,36,27,38.54054054,AERO-00h13m10s,600p,766,800,Off,TRUE,600p_800,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.08108108,32.54054054
126,AERO-00h13m10s_res1080_mu1200_sigma100_rate1185_aqOff.yuv,59,37,18,47,17,27,36,26,54,44,56,49,33,50,39,36,38,27,47,43,39,50,38,23,41,44,29,46,36,39,44,40,60,41,37,42,29,39.48648649,AERO-00h13m10s,1080p,1185,1200,Off,TRUE,1080p_1200,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.08108108,31.59459459
127,AERO-00h13m10s_res600_mu800_sigma50_rate766_aqOn.yuv,42,38,40,19,,34,32,8,56,39,82,36,46,39,5,26,15,28,19,17,38,27,34,35,53,42,29,38,34,38,39,39,42,37,55,19,40,35,AERO-00h13m10s,600p,766,800,On,TRUE,600p_800,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.08108108,36.08108108
128,AERO-00h13m10s_res1080_mu5400_sigma300_rate5419_aqOn.yuv,60,71,53,71,51,72,64,50,78,82,77,82,77,50,78,73,68,83,73,60,51,61,86,56,87,85,75,80,64,69,82,68,86,73,63,93,72,70.91891892,AERO-00h13m10s,1080p,5419,5400,On,TRUE,1080p_5400,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.08108108,0.162162162
